Info 0    [07:21:37.265] Starting TS Server
Info 66   [07:21:47.878] getCompletionData: Get current token: 0.031929999589920044
Info 67   [07:21:47.878] getCompletionData: Is inside comment: 0.050054000690579414
Info 68   [07:21:47.878] getCompletionData: Get previous token: 0.04786999989300966
Info 69   [07:21:47.878] getCompletionsAtPosition: isCompletionListBlocker: 0.005140000022947788
Info 70   [07:21:47.878] getCompletionData: Semantic work: 0.2543869996443391
Info 71   [07:21:47.879] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.47588299959897995
Info 72   [07:21:47.879] getCompletionData: Get current token: 0.029424999840557575
Info 73   [07:21:47.880] getCompletionData: Is inside comment: 0.048220000229775906
Info 74   [07:21:47.880] getCompletionData: Get previous token: 0.04464400000870228
Info 75   [07:21:47.880] getCompletionsAtPosition: isCompletionListBlocker: 0.0028860000893473625
Info 76   [07:21:47.880] getCompletionData: Semantic work: 0.2132399994879961
Info 77   [07:21:47.880] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.34907499980181456
Info 78   [07:21:47.881] getCompletionData: Get current token: 0.030918000265955925
Info 79   [07:21:47.881] getCompletionData: Is inside comment: 0.1337109999731183
Info 80   [07:21:47.881] getCompletionData: Get previous token: 0.053149000741541386
Info 81   [07:21:47.881] getCompletionsAtPosition: isCompletionListBlocker: 0.0030360007658600807
Info 82   [07:21:47.881] getCompletionData: Semantic work: 0.24899800028651953
Info 83   [07:21:47.882] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.38832900021225214
Info 84   [07:21:47.883] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 85   [07:21:47.912] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false structureIsReused:: Completely Elapsed: 28.879018999636173ms
Info 86   [07:21:47.912] Different program with same set of files
Info 87   [07:21:48.205] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 88   [07:21:48.225] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false structureIsReused:: Completely Elapsed: 19.90918399952352ms
Info 89   [07:21:48.225] Different program with same set of files
Info 90   [07:21:48.226] getCompletionData: Get current token: 0.01694200001657009
Info 91   [07:21:48.226] getCompletionData: Is inside comment: 0.023194000124931335
Info 92   [07:21:48.226] getCompletionData: Get previous token: 0.046267000027000904
Info 93   [07:21:48.226] getCompletionsAtPosition: isCompletionListBlocker: 0.0025649992749094963
Info 94   [07:21:48.226] getCompletionData: Semantic work: 0.411251999437809
Info 95   [07:21:48.227] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.6727229999378324
Info 96   [07:21:48.889] Format host information updated
Info 97   [07:21:48.890] Format host information updated
Info 98   [07:21:48.890] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 99   [07:21:48.919] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false structureIsReused:: Completely Elapsed: 28.715522000566125ms
Info 100  [07:21:48.919] Different program with same set of files
Info 101  [07:21:48.919] getCompletionData: Get current token: 0.05946199968457222
Info 102  [07:21:48.919] getCompletionData: Is inside comment: 0.011150999926030636
Info 103  [07:21:48.919] getCompletionData: Get previous token: 0.1599899996072054
Info 104  [07:21:48.920] getCompletionsAtPosition: isCompletionListBlocker: 0.00760400015860796
Info 105  [07:21:48.920] getCompletionData: Semantic work: 0.65414800029248
Info 106  [07:21:48.928] getCompletionData: Get current token: 0.030977999791502953
Info 107  [07:21:48.929] getCompletionData: Is inside comment: 0.005188999697566032
Info 108  [07:21:48.929] getCompletionData: Get previous token: 0.07384900003671646
Info 109  [07:21:48.929] getCompletionsAtPosition: isCompletionListBlocker: 0.005300000309944153
Info 110  [07:21:48.929] getCompletionData: Semantic work: 0.2690350003540516
Info 111  [07:21:49.610] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 112  [07:21:49.643] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false structureIsReused:: Completely Elapsed: 32.495786000043154ms
Info 113  [07:21:49.643] Different program with same set of files
Info 114  [07:21:49.850] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 115  [07:21:49.880] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false structureIsReused:: Completely Elapsed: 29.778167000040412ms
Info 116  [07:21:49.880] Different program with same set of files
Info 117  [07:21:50.293] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 118  [07:21:50.320] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false structureIsReused:: Completely Elapsed: 27.68497799988836ms
Info 119  [07:21:50.320] Different program with same set of files
Info 120  [07:21:50.393] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 121  [07:21:50.420] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false structureIsReused:: Completely Elapsed: 26.863505999557674ms
Info 122  [07:21:50.420] Different program with same set of files
Info 123  [07:21:50.451] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 124  [07:21:50.478] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false structureIsReused:: Completely Elapsed: 27.020972000434995ms
Info 125  [07:21:50.478] Different program with same set of files
Info 126  [07:21:50.536] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 127  [07:21:50.563] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: false structureIsReused:: Completely Elapsed: 27.062409999780357ms
Info 128  [07:21:50.563] Different program with same set of files
Info 129  [07:21:51.536] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 130  [07:21:51.564] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 19 structureChanged: false structureIsReused:: Completely Elapsed: 27.129695000126958ms
Info 131  [07:21:51.564] Different program with same set of files
Info 132  [07:21:52.790] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 133  [07:21:52.817] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 20 structureChanged: false structureIsReused:: Completely Elapsed: 27.536829999648035ms
Info 134  [07:21:52.818] Different program with same set of files
Info 135  [07:21:55.121] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 136  [07:21:55.148] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 21 structureChanged: false structureIsReused:: Completely Elapsed: 26.937605999410152ms
Info 137  [07:21:55.148] Different program with same set of files
Info 138  [07:21:57.646] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 139  [07:21:57.674] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 22 structureChanged: false structureIsReused:: Completely Elapsed: 27.08785600028932ms
Info 140  [07:21:57.674] Different program with same set of files
Info 141  [07:21:58.425] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 142  [07:21:58.453] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 23 structureChanged: false structureIsReused:: Completely Elapsed: 27.093158000148833ms
Info 143  [07:21:58.453] Different program with same set of files
Info 144  [07:21:58.453] getCompletionData: Get current token: 0.022652999497950077
Info 145  [07:21:58.453] getCompletionData: Is inside comment: 0.037860999815166
Info 146  [07:21:58.453] getCompletionData: Get previous token: 0.06357999984174967
Info 147  [07:21:58.453] getCompletionsAtPosition: isCompletionListBlocker: 0.016030000522732735
Info 148  [07:21:58.457] getExportInfoMap: cache hit
Info 149  [07:21:58.463] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 150  [07:21:58.463] collectAutoImports: response is complete
Info 151  [07:21:58.463] collectAutoImports: 5.347587000578642
Info 152  [07:21:58.463] getCompletionData: Semantic work: 9.499869999475777
Info 153  [07:21:58.480] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 16.66325300000608
Info 154  [07:21:59.042] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 155  [07:21:59.068] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 24 structureChanged: false structureIsReused:: Completely Elapsed: 26.716780999675393ms
Info 156  [07:21:59.068] Different program with same set of files
Info 157  [07:21:59.117] Format host information updated
Info 158  [07:21:59.117] Format host information updated
Info 159  [07:21:59.117] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 160  [07:21:59.142] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 25 structureChanged: false structureIsReused:: Completely Elapsed: 25.29045500047505ms
Info 161  [07:21:59.142] Different program with same set of files
Info 162  [07:21:59.143] getCompletionData: Get current token: 0.055443999357521534
Info 163  [07:21:59.143] getCompletionData: Is inside comment: 0.010749999433755875
Info 164  [07:21:59.143] getCompletionData: Get previous token: 0.08958800043910742
Info 165  [07:21:59.143] getCompletionsAtPosition: isCompletionListBlocker: 0.018094000406563282
Info 166  [07:21:59.146] getCompletionData: Semantic work: 2.9558370001614094
Info 167  [07:21:59.153] getCompletionData: Get current token: 0.02875399962067604
Info 168  [07:21:59.153] getCompletionData: Is inside comment: 0.008936000056564808
Info 169  [07:21:59.153] getCompletionData: Get previous token: 0.06289900001138449
Info 170  [07:21:59.153] getCompletionsAtPosition: isCompletionListBlocker: 0.01027899980545044
Info 171  [07:21:59.155] getCompletionData: Semantic work: 2.419972000643611
Info 172  [07:22:00.261] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 173  [07:22:00.291] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 26 structureChanged: false structureIsReused:: Completely Elapsed: 29.09340099990368ms
Info 174  [07:22:00.291] Different program with same set of files
Info 175  [07:22:15.233] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 176  [07:22:15.261] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 27 structureChanged: false structureIsReused:: Completely Elapsed: 28.02273999992758ms
Info 177  [07:22:15.261] Different program with same set of files
Info 178  [07:22:15.261] getCompletionData: Get current token: 0.025477999821305275
Info 179  [07:22:15.261] getCompletionData: Is inside comment: 0.004298999905586243
Info 180  [07:22:15.261] getCompletionData: Get previous token: 0.08704400062561035
Info 181  [07:22:15.262] getCompletionsAtPosition: isCompletionListBlocker: 0.004358000122010708
Info 182  [07:22:15.264] getExportInfoMap: cache hit
Info 183  [07:22:15.267] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 184  [07:22:15.267] collectAutoImports: response is complete
Info 185  [07:22:15.267] collectAutoImports: 2.448964999988675
Info 186  [07:22:15.267] getCompletionData: Semantic work: 5.535569999366999
Info 187  [07:22:15.282] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 14.660583999939263
Info 188  [07:22:16.363] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 189  [07:22:16.389] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 28 structureChanged: false structureIsReused:: Completely Elapsed: 25.927880000323057ms
Info 190  [07:22:16.389] Different program with same set of files
Info 191  [07:22:16.811] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 192  [07:22:16.836] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 29 structureChanged: false structureIsReused:: Completely Elapsed: 25.37778799980879ms
Info 193  [07:22:16.836] Different program with same set of files
Info 194  [07:23:57.106] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 195  [07:23:57.138] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 30 structureChanged: false structureIsReused:: Completely Elapsed: 31.85892099980265ms
Info 196  [07:23:57.138] Different program with same set of files
Info 197  [07:23:58.006] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 198  [07:23:58.039] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 31 structureChanged: false structureIsReused:: Completely Elapsed: 32.362166999839246ms
Info 199  [07:23:58.039] Different program with same set of files
Info 200  [07:23:58.039] getCompletionData: Get current token: 0.005491000600159168
Info 201  [07:23:58.039] getCompletionData: Is inside comment: 0.013024000450968742
Info 202  [07:23:58.039] getCompletionData: Get previous token: 0.020809000357985497
Info 203  [07:23:58.039] getCompletionsAtPosition: isCompletionListBlocker: 0.01381599996238947
Info 204  [07:23:58.044] getExportInfoMap: cache hit
Info 205  [07:23:58.048] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 206  [07:23:58.048] collectAutoImports: response is complete
Info 207  [07:23:58.048] collectAutoImports: 4.402362000197172
Info 208  [07:23:58.048] getCompletionData: Semantic work: 9.237495999783278
Info 209  [07:23:58.062] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 13.313064999878407
Info 210  [07:23:58.732] Format host information updated
Info 211  [07:23:58.732] Format host information updated
Info 212  [07:23:58.733] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 213  [07:23:58.766] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 32 structureChanged: false structureIsReused:: Completely Elapsed: 33.047461999580264ms
Info 214  [07:23:58.766] Different program with same set of files
Info 215  [07:23:58.767] getCompletionData: Get current token: 0.025787999853491783
Info 216  [07:23:58.767] getCompletionData: Is inside comment: 0.008256000466644764
Info 217  [07:23:58.767] getCompletionData: Get previous token: 0.042620000429451466
Info 218  [07:23:58.767] getCompletionsAtPosition: isCompletionListBlocker: 0.013856000266969204
Info 219  [07:23:58.770] getCompletionData: Semantic work: 3.103364000096917
Info 220  [07:23:58.773] getCompletionData: Get current token: 0.013325000181794167
Info 221  [07:23:58.773] getCompletionData: Is inside comment: 0.00465800054371357
Info 222  [07:23:58.773] getCompletionData: Get previous token: 0.027612000703811646
Info 223  [07:23:58.773] getCompletionsAtPosition: isCompletionListBlocker: 0.009978000074625015
Info 224  [07:23:58.775] getCompletionData: Semantic work: 2.466950999572873
Info 225  [07:23:59.096] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 226  [07:23:59.124] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 33 structureChanged: false structureIsReused:: Completely Elapsed: 28.164398999884725ms
Info 227  [07:23:59.124] Different program with same set of files
Info 228  [07:23:59.124] getCompletionData: Get current token: 0.006722999736666679
Info 229  [07:23:59.125] getCompletionData: Is inside comment: 0.015368999913334846
Info 230  [07:23:59.125] getCompletionData: Get previous token: 0.01369599997997284
Info 231  [07:23:59.125] getCompletionsAtPosition: isCompletionListBlocker: 0.00406700000166893
Info 232  [07:23:59.126] getCompletionData: Semantic work: 1.301642999984324
Info 233  [07:23:59.128] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.8369909999892116
Info 234  [07:23:59.129] getCompletionData: Get current token: 0.005529999732971191
Info 235  [07:23:59.129] getCompletionData: Is inside comment: 0.015308999456465244
Info 236  [07:23:59.129] getCompletionData: Get previous token: 0.013836000114679337
Info 237  [07:23:59.129] getCompletionsAtPosition: isCompletionListBlocker: 0.0032559996470808983
Info 238  [07:23:59.129] getCompletionData: Semantic work: 0.17227300070226192
Info 239  [07:23:59.129] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.3548860000446439
Info 240  [07:23:59.130] getCompletionData: Get current token: 0.004437999799847603
Info 241  [07:23:59.130] getCompletionData: Is inside comment: 0.013685000129044056
Info 242  [07:23:59.130] getCompletionData: Get previous token: 0.011029999703168869
Info 243  [07:23:59.130] getCompletionsAtPosition: isCompletionListBlocker: 0.00294599961489439
Info 244  [07:23:59.130] getCompletionData: Semantic work: 0.1451819995418191
Info 245  [07:23:59.130] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.25481799989938736
Info 246  [07:23:59.131] getCompletionData: Get current token: 0.005239999853074551
Info 247  [07:23:59.131] getCompletionData: Is inside comment: 0.0132039999589324
Info 248  [07:23:59.131] getCompletionData: Get previous token: 0.010619999840855598
Info 249  [07:23:59.131] getCompletionsAtPosition: isCompletionListBlocker: 0.0029250001534819603
Info 250  [07:23:59.131] getCompletionData: Semantic work: 0.14908900018781424
Info 251  [07:23:59.131] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.2581740003079176
Info 252  [07:23:59.132] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 253  [07:23:59.159] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 34 structureChanged: false structureIsReused:: Completely Elapsed: 27.328600000590086ms
Info 254  [07:23:59.159] Different program with same set of files
Info 255  [07:23:59.314] getCompletionData: Get current token: 0.004629000090062618
Info 256  [07:23:59.314] getCompletionData: Is inside comment: 0.012853999622166157
Info 257  [07:23:59.314] getCompletionData: Get previous token: 0.02217199932783842
Info 258  [07:23:59.314] getCompletionsAtPosition: isCompletionListBlocker: 0.0031059999018907547
Info 259  [07:23:59.315] getCompletionData: Semantic work: 0.35563799925148487
Info 260  [07:23:59.315] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.864253000356257
Info 261  [07:23:59.750] Format host information updated
Info 262  [07:23:59.751] Format host information updated
Info 263  [07:23:59.751] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 264  [07:23:59.781] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 35 structureChanged: false structureIsReused:: Completely Elapsed: 30.183176999911666ms
Info 265  [07:23:59.781] Different program with same set of files
Info 266  [07:23:59.781] getCompletionData: Get current token: 0.02289300039410591
Info 267  [07:23:59.781] getCompletionData: Is inside comment: 0.014967999421060085
Info 268  [07:23:59.781] getCompletionData: Get previous token: 0.03840199951082468
Info 269  [07:23:59.782] getCompletionsAtPosition: isCompletionListBlocker: 0.003987000323832035
Info 270  [07:23:59.782] getCompletionData: Semantic work: 0.46463199984282255
Info 271  [07:23:59.786] getCompletionData: Get current token: 0.015629000030457973
Info 272  [07:23:59.786] getCompletionData: Is inside comment: 0.004207000136375427
Info 273  [07:23:59.786] getCompletionData: Get previous token: 0.0319199999794364
Info 274  [07:23:59.786] getCompletionsAtPosition: isCompletionListBlocker: 0.0032669994980096817
Info 275  [07:23:59.786] getCompletionData: Semantic work: 0.15889800060540438
Info 276  [07:24:00.184] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 277  [07:24:00.213] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 36 structureChanged: false structureIsReused:: Completely Elapsed: 28.305542999878526ms
Info 278  [07:24:00.213] Different program with same set of files
Info 279  [07:24:00.424] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 280  [07:24:00.450] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 37 structureChanged: false structureIsReused:: Completely Elapsed: 26.072843000292778ms
Info 281  [07:24:00.450] Different program with same set of files
Info 282  [07:24:00.596] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 283  [07:24:00.622] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 38 structureChanged: false structureIsReused:: Completely Elapsed: 25.424637000076473ms
Info 284  [07:24:00.622] Different program with same set of files
Info 285  [07:24:00.683] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 286  [07:24:00.709] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 39 structureChanged: false structureIsReused:: Completely Elapsed: 25.715882999822497ms
Info 287  [07:24:00.709] Different program with same set of files
Info 288  [07:24:00.748] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 289  [07:24:00.774] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 40 structureChanged: false structureIsReused:: Completely Elapsed: 25.90870500076562ms
Info 290  [07:24:00.774] Different program with same set of files
Info 291  [07:24:00.836] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 292  [07:24:00.862] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 41 structureChanged: false structureIsReused:: Completely Elapsed: 26.21890600025654ms
Info 293  [07:24:00.862] Different program with same set of files
Info 294  [07:24:02.051] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 295  [07:24:02.077] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 42 structureChanged: false structureIsReused:: Completely Elapsed: 26.25815000012517ms
Info 296  [07:24:02.077] Different program with same set of files
Info 297  [07:24:02.945] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 298  [07:24:02.970] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 43 structureChanged: false structureIsReused:: Completely Elapsed: 25.002163000404835ms
Info 299  [07:24:02.970] Different program with same set of files
Info 300  [07:24:06.369] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 301  [07:24:06.395] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 44 structureChanged: false structureIsReused:: Completely Elapsed: 26.028597000055015ms
Info 302  [07:24:06.395] Different program with same set of files
Info 303  [07:24:06.490] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 304  [07:24:06.506] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 45 structureChanged: false structureIsReused:: Completely Elapsed: 16.15504899993539ms
Info 305  [07:24:06.506] Different program with same set of files
Info 306  [07:24:07.383] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 307  [07:24:07.409] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 46 structureChanged: false structureIsReused:: Completely Elapsed: 26.576144999824464ms
Info 308  [07:24:07.409] Different program with same set of files
Info 309  [07:24:07.410] getCompletionData: Get current token: 0.005229000002145767
Info 310  [07:24:07.410] getCompletionData: Is inside comment: 0.01590999960899353
Info 311  [07:24:07.410] getCompletionData: Get previous token: 0.01170200016349554
Info 312  [07:24:07.410] getCompletionsAtPosition: isCompletionListBlocker: 0.003926999866962433
Info 313  [07:24:07.410] getCompletionData: Semantic work: 0.59580900054425
Info 314  [07:24:07.411] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.7551880003884435
Info 315  [07:24:07.412] getCompletionData: Get current token: 0.004979999735951424
Info 316  [07:24:07.412] getCompletionData: Is inside comment: 0.014056999236345291
Info 317  [07:24:07.412] getCompletionData: Get previous token: 0.011682000011205673
Info 318  [07:24:07.412] getCompletionsAtPosition: isCompletionListBlocker: 0.0033069998025894165
